date,peak_pos,last_pos,weeks,rank,change,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
6/21/2018,13,35,18,33,2,0.587,0.118,94.978,0.262,0.15,0,4,0.923,11,276659,-6.401,0.27,1
6/21/2018,28,67,15,75,-8,0.63,0.138,174.046,0.0893,0.05,0.00031,4,0.704,11,333871,-10.521,0.476,0
6/21/2018,7,44,19,44,0,0.677,0.111,100.584,0.093,0.0762,2.17E-05,4,0.735,2,211440,-4.979,0.188,1
6/21/2018,39,0,1,39,,0.597,0.195,100.051,0.037,0.339,0.0404,4,0.585,0,324674,-7.499,0.227,1
6/21/2018,7,51,15,52,-1,0.613,0.123,75.023,0.145,0.258,0.00372,4,0.74,8,166606,-4.88,0.473,1
6/21/2018,55,55,2,57,-2,0.889,0.136,199.669,0.0991,0.0848,0,4,0.375,3,185200,-3.704,0.881,1
6/21/2018,94,99,2,94,5,0.745,0.104,94.014,0.0464,0.354,2.93E-05,4,0.791,11,188560,-3.695,0.82,0
6/21/2018,50,95,19,98,-3,0.907,0.242,199.943,0.0481,0.0491,0,4,0.491,7,182667,-3.594,0.631,1
6/21/2018,56,64,13,56,8,0.738,0.689,97.021,0.0292,0.117,0.000384,4,0.638,6,243147,-4.976,0.657,0
6/21/2018,36,43,8,36,7,0.419,0.0788,97.007,0.104,0.0326,0.908,4,0.756,11,417399,-10.781,0.0359,0
6/21/2018,32,41,14,32,9,0.594,0.133,86.131,0.0289,0.0292,0,4,0.474,11,195987,-5.756,0.503,1
6/21/2018,5,10,20,8,2,0.657,0.112,107.01,0.0449,0.171,0,4,0.753,7,184732,-3.061,0.437,1
6/21/2018,1,7,6,12,-5,0.463,0.354,120.024,0.137,0.117,0,4,0.854,5,225773,-6.159,0.549,1
6/21/2018,27,27,2,85,-58,0.417,0.186,110.111,0.524,0.374,0,4,0.665,1,215320,-6.731,0.04,0
6/21/2018,24,26,22,29,-3,0.603,0.107,126.088,0.0555,0.0959,0,4,0.655,8,190643,-5.014,0.452,1
6/21/2018,12,22,20,21,1,0.655,0.117,134.945,0.0311,0.0362,0,4,0.672,10,201240,-5.021,0.556,0
6/21/2018,53,69,10,53,16,0.772,0.214,119.909,0.0593,0.00101,1.95E-05,4,0.563,5,180243,-6.737,0.394,1
6/21/2018,41,57,15,58,-1,0.773,0.334,180.073,0.0549,0.0364,0.00108,4,0.595,9,173628,-4.736,0.711,0
6/21/2018,6,15,5,11,4,0.243,0.126,120.995,0.0934,0.383,0.897,4,0.801,6,141926,-15.05,0.446,1
6/21/2018,8,8,2,40,-32,0.777,0.228,173.931,0.357,0.145,0,4,0.676,1,188773,-3.241,0.226,0
6/21/2018,28,62,20,61,1,0.574,0.11,132.025,0.0315,0.143,0,3,0.375,7,196800,-5.305,0.406,1
6/21/2018,79,96,2,79,17,0.854,0.124,120.274,0.463,0.0169,0,4,0.596,7,203418,-5.114,0.152,0
6/21/2018,54,82,14,82,0,0.826,0.117,77.093,0.0319,0.00756,0,4,0.448,2,254805,-3.244,0.19,0
6/16/2018,89,0,1,89,,0.77,0.104,92.223,0.0432,0.238,0.00636,4,0.5,8,238148,-5.059,0.633,1
6/16/2018,3,39,23,50,-11,0.719,0.0344,104.998,0.0497,0.0202,0.89,4,0.77,5,217852,-8.201,0.849,0
6/16/2018,28,0,1,28,,0.407,0.0541,116.064,0.426,0.822,0,4,0.742,2,274187,-6.938,0.39,1
6/16/2018,87,87,4,93,-6,0.767,0.114,160.084,0.166,0.138,0,4,0.718,9,156000,-5.641,0.519,1
6/16/2018,81,0,1,81,,0.892,0.143,75.218,0.0566,0.00951,0,4,0.455,6,198880,-3.218,0.641,1
6/16/2018,36,0,1,36,,0.643,0.109,80.025,0.0625,0.039,0,4,0.64,10,123040,-2.442,0.335,0
6/16/2018,11,83,6,94,-11,0.554,0.166,159.85,0.137,0.0379,3.84E-05,4,0.61,0,221787,-5.501,0.244,1
6/16/2018,14,79,6,88,-9,0.59,0.0942,151.952,0.0569,0.186,0,4,0.601,2,206453,-5.001,0.274,1
6/9/2018,7,33,21,41,-8,0.633,0.0926,96.924,0.0597,0.0605,0.000194,4,0.698,8,232187,-4.946,0.552,1
6/9/2018,29,91,13,95,-4,0.519,0.0986,150.029,0.0428,0.00643,0.00343,4,0.668,1,204846,-11.341,0.494,1
6/9/2018,58,58,10,81,-23,0.804,0.0308,142.016,0.0361,0.00738,0,4,0.547,6,197053,-5.268,0.666,1
6/9/2018,98,0,1,98,,0.904,0.064,82.014,0.0618,0.193,0,4,0.579,5,190947,-2.729,0.681,1
6/9/2018,73,0,1,73,,0.697,0.362,153.426,0.325,0.0186,0,4,0.46,6,202120,-5.954,0.701,0
6/9/2018,65,0,1,65,,0.578,0.72,112.265,0.298,0.0518,0.0055,5,0.674,10,170240,-8.768,0.163,0
6/9/2018,21,61,20,68,-7,0.717,0.183,82.064,0.337,0.000874,0,4,0.563,1,229670,-5.186,0.427,1
6/9/2018,35,94,9,99,-5,0.537,0.102,128.009,0.0804,0.556,0.00404,4,0.921,9,135090,-5.723,0.711,0
6/9/2018,43,81,18,92,-11,0.728,0.139,150.013,0.0292,0.174,0,4,0.582,8,221801,-6.151,0.537,1
6/9/2018,13,45,31,44,1,0.236,0.103,100.807,0.045,0.114,0.792,4,0.727,8,173234,-12.766,0.523,0
6/9/2018,100,0,1,100,,0.796,0.096,78.033,0.198,0.0713,0.0163,4,0.694,5,166120,-3.696,0.592,1
6/2/2018,6,63,5,89,-26,0.497,0.0898,81.651,0.681,0.115,0,4,0.719,8,216727,-7.661,0.345,1
6/2/2018,68,0,1,68,,0.783,0.0952,130.195,0.424,0.129,0,4,0.706,2,205861,-5.337,0.513,1
6/2/2018,99,0,1,99,,0.703,0.0964,94.858,0.102,0.0218,0,4,0.541,0,215724,-5.573,0.238,1
6/2/2018,98,0,1,98,,0.696,0.132,82.001,0.0469,0.109,0,4,0.624,11,213987,-6.006,0.392,1
6/2/2018,8,68,5,92,-24,0.527,0.631,116.078,0.367,0.482,0,4,0.829,6,200310,-6.644,0.473,0
6/2/2018,82,0,1,82,,0.728,0.159,144.964,0.402,0.0392,0,4,0.737,5,195456,-5.498,0.587,0
6/2/2018,73,0,1,73,,0.447,0.0931,110.059,0.126,0.775,1.48E-05,4,0.823,1,228662,-10.562,0.413,0
6/2/2018,46,67,12,93,-26,0.658,0.0417,115.016,0.0517,0.0224,0,4,0.827,6,152862,-3.846,0.523,1
6/2/2018,31,80,19,97,-17,0.666,0.105,134.068,0.0694,0.139,0,4,0.851,11,129105,-5.334,0.0585,0
6/2/2018,83,0,1,83,,0.713,0.0572,132.109,0.094,0.181,0,4,0.831,1,202853,-3.646,0.69,0
6/2/2018,79,0,1,79,,0.646,0.191,77.555,0.257,0.00271,0,4,0.811,8,173437,-4.902,0.386,0
6/2/2018,17,65,4,88,-23,0.468,0.148,85.913,0.0274,0.414,0,4,0.479,5,204427,-5.396,0.35,1
5/26/2018,40,69,3,98,-29,0.743,0.121,146.03,0.0474,0.269,1.36E-06,4,0.802,7,211427,-4.82,0.877,0
5/26/2018,48,0,3,95,,0.736,0.109,140.299,0.0459,0.00495,0,3,0.351,6,246467,-3.318,0.237,1
5/26/2018,24,64,3,89,-25,0.761,0.143,163.898,0.0877,0.131,1.60E-06,4,0.559,4,246987,-4.041,0.24,0
5/26/2018,8,50,21,44,6,0.816,0.159,181.967,0.269,0.00299,0,4,0.815,2,190288,-5.474,0.498,1
